scale,scale_name,dimension,cosine_sim_hedonic,cosine_sim_eudaimonic,delta
PHQ-9,Patient Health Questionnaire-9,Foundational claim,0.17138629068652578,0.08854729659300864,0.08283899409351714
PHQ-9,Patient Health Questionnaire-9,Evaluative criterion,0.34240062244841907,0.23285596732841496,0.10954465512000411
PHQ-9,Patient Health Questionnaire-9,Time horizon,0.3571048074599188,0.20984009362459588,0.1472647138353229
PHQ-9,Patient Health Questionnaire-9,Adversity,0.23097977232464206,0.1153153361142839,0.11566443621035816
PHQ-9,Patient Health Questionnaire-9,Measurement proxies,0.5048934042753671,0.3623515921453342,0.14254181213003292
PHQ-9,Patient Health Questionnaire-9,Central tension,0.24753708302473787,0.18727922339850722,0.06025785962623065
GAD-7,Generalized Anxiety Disorder 7-item Scale,Foundational claim,0.13217298352056006,0.09102425469071762,0.04114872882984244
GAD-7,Generalized Anxiety Disorder 7-item Scale,Evaluative criterion,0.28585018895455316,0.21611003734024314,0.06974015161431002
GAD-7,Generalized Anxiety Disorder 7-item Scale,Time horizon,0.3145381786305732,0.14253259631128423,0.17200558231928897
GAD-7,Generalized Anxiety Disorder 7-item Scale,Adversity,0.19185046159703134,0.09022279158772206,0.10162767000930928
GAD-7,Generalized Anxiety Disorder 7-item Scale,Measurement proxies,0.4436309933499636,0.28021268163888835,0.16341831171107524
GAD-7,Generalized Anxiety Disorder 7-item Scale,Central tension,0.18431027128652588,0.14310531013486594,0.04120496115165995
BDI-II,Beck Depression Inventory-II,Foundational claim,0.1778989500762871,0.08922354749007444,0.08867540258621265
BDI-II,Beck Depression Inventory-II,Evaluative criterion,0.32669613519500773,0.2195694671288818,0.10712666806612592
BDI-II,Beck Depression Inventory-II,Time horizon,0.30856339112774755,0.17862913764561728,0.12993425348213028
BDI-II,Beck Depression Inventory-II,Adversity,0.23361422230541518,0.11718389727042655,0.11643032503498862
BDI-II,Beck Depression Inventory-II,Measurement proxies,0.5030432611536537,0.35893834337980945,0.14410491777384427
BDI-II,Beck Depression Inventory-II,Central tension,0.23008585650652935,0.18025315947439124,0.04983269703213811
BAI,Beck Anxiety Inventory,Foundational claim,0.105101150410714,0.047216124506335055,0.05788502590437894
BAI,Beck Anxiety Inventory,Evaluative criterion,0.28985137105645553,0.20077834690071472,0.08907302415574081
BAI,Beck Anxiety Inventory,Time horizon,0.3102139100630763,0.11452192883602996,0.19569198122704634
BAI,Beck Anxiety Inventory,Adversity,0.23341812666086748,0.08252805255949669,0.15089007410137079
BAI,Beck Anxiety Inventory,Measurement proxies,0.4702358943378431,0.2936340555995973,0.17660183873824575
BAI,Beck Anxiety Inventory,Central tension,0.20576907358394791,0.13432577054807626,0.07144330303587165
DASS-21,Depression Anxiety Stress Scales-21,Foundational claim,0.1988859628506422,0.13058019077891858,0.06830577207172361
DASS-21,Depression Anxiety Stress Scales-21,Evaluative criterion,0.3842445757891375,0.25581248615502394,0.12843208963411357
DASS-21,Depression Anxiety Stress Scales-21,Time horizon,0.38621438072979863,0.2282893702926465,0.15792501043715212
DASS-21,Depression Anxiety Stress Scales-21,Adversity,0.31875558032686135,0.17075922546117872,0.14799635486568263
DASS-21,Depression Anxiety Stress Scales-21,Measurement proxies,0.5674168176884394,0.41297296393435046,0.15444385375408898
DASS-21,Depression Anxiety Stress Scales-21,Central tension,0.2835959602706455,0.25998097009031984,0.023614990180325646
SCL-90-R,Symptom Checklist-90-Revised,Foundational claim,0.17429793447614594,0.09932393719048926,0.07497399728565668
SCL-90-R,Symptom Checklist-90-Revised,Evaluative criterion,0.34407249743049517,0.23040018210090074,0.11367231532959443
SCL-90-R,Symptom Checklist-90-Revised,Time horizon,0.3187130482165198,0.1879659077982112,0.1307471404183086
SCL-90-R,Symptom Checklist-90-Revised,Adversity,0.26825688779613166,0.1314620332864308,0.13679485450970086
SCL-90-R,Symptom Checklist-90-Revised,Measurement proxies,0.5328946439151807,0.39722173242821346,0.13567291148696725
SCL-90-R,Symptom Checklist-90-Revised,Central tension,0.2109538900985336,0.17941752239083808,0.03153636770769552
MADRS,Montgomery-Asberg Depression Rating Scale,Foundational claim,0.17835029298508576,0.10001521006604519,0.07833508291904057
MADRS,Montgomery-Asberg Depression Rating Scale,Evaluative criterion,0.34394571691904197,0.23355565110426268,0.11039006581477928
MADRS,Montgomery-Asberg Depression Rating Scale,Time horizon,0.32078539586160004,0.18079664123338524,0.1399887546282148
MADRS,Montgomery-Asberg Depression Rating Scale,Adversity,0.23528110048814044,0.10975506905573362,0.12552603143240681
MADRS,Montgomery-Asberg Depression Rating Scale,Measurement proxies,0.5224774240884282,0.34262635674220365,0.17985106734622458
MADRS,Montgomery-Asberg Depression Rating Scale,Central tension,0.2427164994959199,0.17611549718664132,0.06660100230927857
HAM-D,Hamilton Depression Rating Scale,Foundational claim,0.14003920348519283,0.07691330960911391,0.06312589387607892
HAM-D,Hamilton Depression Rating Scale,Evaluative criterion,0.29924250459944857,0.2243015775974192,0.07494092700202937
HAM-D,Hamilton Depression Rating Scale,Time horizon,0.3232784111545881,0.16559817155218048,0.15768023960240762
HAM-D,Hamilton Depression Rating Scale,Adversity,0.20900370571379534,0.0839248412491953,0.12507886446460004
HAM-D,Hamilton Depression Rating Scale,Measurement proxies,0.49800694012809443,0.3406387375165364,0.15736820261155804
HAM-D,Hamilton Depression Rating Scale,Central tension,0.19347332964004205,0.14906529758894338,0.04440803205109867
HAM-A,Hamilton Anxiety Rating Scale,Foundational claim,0.0866056803119869,0.036505110270506624,0.050100570041480275
HAM-A,Hamilton Anxiety Rating Scale,Evaluative criterion,0.28510133441348295,0.19392044593035462,0.09118088848312833
HAM-A,Hamilton Anxiety Rating Scale,Time horizon,0.30132668145974206,0.12943629357176,0.17189038788798205
HAM-A,Hamilton Anxiety Rating Scale,Adversity,0.2106778086595722,0.07119179423923383,0.13948601442033837
HAM-A,Hamilton Anxiety Rating Scale,Measurement proxies,0.49864456919312095,0.3163949222285234,0.18224964696459756
HAM-A,Hamilton Anxiety Rating Scale,Central tension,0.17968566923736184,0.11221610260269377,0.06746956663466808
STAI,State-Trait Anxiety Inventory,Foundational claim,0.12119055143403101,0.08356111720192505,0.03762943423210596
STAI,State-Trait Anxiety Inventory,Evaluative criterion,0.27662383074361163,0.2005001138571717,0.07612371688643993
STAI,State-Trait Anxiety Inventory,Time horizon,0.33043760330509075,0.17091981109982401,0.15951779220526674
STAI,State-Trait Anxiety Inventory,Adversity,0.18401244151039875,0.09647389668876494,0.08753854482163381
STAI,State-Trait Anxiety Inventory,Measurement proxies,0.48388608934220234,0.33722133350980243,0.1466647558323999
STAI,State-Trait Anxiety Inventory,Central tension,0.1699762428591518,0.16017366250744514,0.009802580351706669
PSQI,Pittsburgh Sleep Quality Index,Foundational claim,0.14915777627742077,0.10097429015938997,0.048183486118030805
PSQI,Pittsburgh Sleep Quality Index,Evaluative criterion,0.3126823015948199,0.23213534141505432,0.08054696017976559
PSQI,Pittsburgh Sleep Quality Index,Time horizon,0.35604907143378306,0.19436293099323,0.16168614044055307
PSQI,Pittsburgh Sleep Quality Index,Adversity,0.1572282759574144,0.07721769106625809,0.08001058489115631
PSQI,Pittsburgh Sleep Quality Index,Measurement proxies,0.47349896949031556,0.35435972206218347,0.11913924742813209
PSQI,Pittsburgh Sleep Quality Index,Central tension,0.21871957867560932,0.16715410526010555,0.05156547341550377
PCL-5,PTSD Checklist for DSM-5,Foundational claim,0.12656457452749037,0.0672633707148621,0.05930120381262827
PCL-5,PTSD Checklist for DSM-5,Evaluative criterion,0.2791418505569139,0.18698755196609673,0.09215429859081714
PCL-5,PTSD Checklist for DSM-5,Time horizon,0.28475882752367043,0.1638786440879767,0.12088018343569373
PCL-5,PTSD Checklist for DSM-5,Adversity,0.260376071898887,0.14551278270121448,0.11486328919767252
PCL-5,PTSD Checklist for DSM-5,Measurement proxies,0.44617168196605306,0.3516782320212284,0.09449344994482467
PCL-5,PTSD Checklist for DSM-5,Central tension,0.19233523505211048,0.15259113432046756,0.03974410073164292
AUDIT,Alcohol Use Disorders Identification Test,Foundational claim,0.15633070493136647,0.10304567468124726,0.053285030250119214
AUDIT,Alcohol Use Disorders Identification Test,Evaluative criterion,0.23912416195522201,0.19799772228894852,0.041126439666273495
AUDIT,Alcohol Use Disorders Identification Test,Time horizon,0.2717313336583367,0.14944656960685243,0.12228476405148425
AUDIT,Alcohol Use Disorders Identification Test,Adversity,0.19435261569245876,0.09943190029417315,0.09492071539828562
AUDIT,Alcohol Use Disorders Identification Test,Measurement proxies,0.39796320965402154,0.3151721624889212,0.08279104716510033
AUDIT,Alcohol Use Disorders Identification Test,Central tension,0.16131233395693867,0.13665528818775574,0.024657045769182928
CGI,Clinical Global Impression Scale,Foundational claim,0.18263782113869054,0.1395949190559458,0.04304290208274475
CGI,Clinical Global Impression Scale,Evaluative criterion,0.3389006880406684,0.2685967807382048,0.07030390730246361
CGI,Clinical Global Impression Scale,Time horizon,0.358906622991813,0.24659523042694098,0.11231139256487199
CGI,Clinical Global Impression Scale,Adversity,0.25232399362106994,0.16881505406797848,0.08350893955309147
CGI,Clinical Global Impression Scale,Measurement proxies,0.46638683852072027,0.3383983651091733,0.12798847341154695
CGI,Clinical Global Impression Scale,Central tension,0.2172294771256975,0.14222572100015007,0.07500375612554744
BSI,Brief Symptom Inventory,Foundational claim,0.2502865983208755,0.1704212916110629,0.07986530670981262
BSI,Brief Symptom Inventory,Evaluative criterion,0.4415985688331153,0.2920745731286467,0.14952399570446862
BSI,Brief Symptom Inventory,Time horizon,0.39632696698645553,0.23230290246633867,0.16402406452011686
BSI,Brief Symptom Inventory,Adversity,0.35172375076450013,0.18436546953909894,0.1673582812254012
BSI,Brief Symptom Inventory,Measurement proxies,0.5787789630079903,0.42413262415196606,0.1546463388560242
BSI,Brief Symptom Inventory,Central tension,0.28119928957740914,0.26715497272358113,0.01404431685382801
OQ-45,Outcome Questionnaire-45,Foundational claim,0.21538536099280814,0.17322767232314573,0.04215768866966241
OQ-45,Outcome Questionnaire-45,Evaluative criterion,0.4179183094043314,0.3402973263020186,0.0776209831023128
OQ-45,Outcome Questionnaire-45,Time horizon,0.4317645206452603,0.2901055738879801,0.1416589467572802
OQ-45,Outcome Questionnaire-45,Adversity,0.3012711171858815,0.20777384476602478,0.09349727241985673
OQ-45,Outcome Questionnaire-45,Measurement proxies,0.6058006690964352,0.5236706341662575,0.08213003493017768
OQ-45,Outcome Questionnaire-45,Central tension,0.27334256479958907,0.24559110470198398,0.027751460097605096
K10,Kessler Psychological Distress Scale,Foundational claim,0.23361326335686827,0.17143814898665577,0.0621751143702125
K10,Kessler Psychological Distress Scale,Evaluative criterion,0.4279244357515757,0.3031568351566225,0.12476760059495318
K10,Kessler Psychological Distress Scale,Time horizon,0.3946403564066904,0.24854057887379388,0.1460997775328965
K10,Kessler Psychological Distress Scale,Adversity,0.3157073934728398,0.1804661841780627,0.13524120929477712
K10,Kessler Psychological Distress Scale,Measurement proxies,0.5639110950472459,0.4041319779364161,0.15977911711082982
K10,Kessler Psychological Distress Scale,Central tension,0.3114455570314143,0.27116606662635256,0.040279490405061735
CORE-OM,Clinical Outcomes in Routine Evaluation-Outcome Measure,Foundational claim,0.3093602710145189,0.24587894624530282,0.06348132476921609
CORE-OM,Clinical Outcomes in Routine Evaluation-Outcome Measure,Evaluative criterion,0.5276529817428158,0.399781053948731,0.12787192779408485
CORE-OM,Clinical Outcomes in Routine Evaluation-Outcome Measure,Time horizon,0.47215724050358054,0.3508071519532949,0.12135008855028562
CORE-OM,Clinical Outcomes in Routine Evaluation-Outcome Measure,Adversity,0.3578658787922343,0.24266263794724396,0.11520324084499034
CORE-OM,Clinical Outcomes in Routine Evaluation-Outcome Measure,Measurement proxies,0.6014277767298049,0.50899827229809,0.09242950443171483
CORE-OM,Clinical Outcomes in Routine Evaluation-Outcome Measure,Central tension,0.30917687269725547,0.27224031877057786,0.03693655392667761
SDS,Sheehan Disability Scale,Foundational claim,0.1948632744696197,0.1591809287745405,0.03568234569507922
SDS,Sheehan Disability Scale,Evaluative criterion,0.3555835001489225,0.2957340832198645,0.059849416929057986
SDS,Sheehan Disability Scale,Time horizon,0.3454614686539481,0.27246928977057117,0.07299217888337695
SDS,Sheehan Disability Scale,Adversity,0.2520787746544433,0.17910452408869793,0.07297425056574536
SDS,Sheehan Disability Scale,Measurement proxies,0.46987098496466495,0.41487700379888737,0.05499398116577758
SDS,Sheehan Disability Scale,Central tension,0.26712344997765713,0.2109559196923554,0.05616753028530175
WHODAS-2.0,WHO Disability Assessment Schedule 2.0,Foundational claim,0.22035008458847416,0.25698254341733695,-0.03663245882886279
WHODAS-2.0,WHO Disability Assessment Schedule 2.0,Evaluative criterion,0.36965553840175014,0.38078427611308685,-0.011128737711336711
WHODAS-2.0,WHO Disability Assessment Schedule 2.0,Time horizon,0.3712310056362085,0.31351680300392126,0.057714202632287215
WHODAS-2.0,WHO Disability Assessment Schedule 2.0,Adversity,0.2169225523443733,0.20803802522912507,0.00888452711524823
WHODAS-2.0,WHO Disability Assessment Schedule 2.0,Measurement proxies,0.43114589262932757,0.5059851659378933,-0.07483927330856577
WHODAS-2.0,WHO Disability Assessment Schedule 2.0,Central tension,0.23276109900676223,0.25683741851272635,-0.024076319505964117
Y-BOCS,Yale-Brown Obsessive Compulsive Scale,Foundational claim,0.08335763795327777,0.03331636888557021,0.05004126906770756
Y-BOCS,Yale-Brown Obsessive Compulsive Scale,Evaluative criterion,0.21247329304934304,0.1683582162846844,0.044115076764658645
Y-BOCS,Yale-Brown Obsessive Compulsive Scale,Time horizon,0.24837899810385033,0.14672268821965717,0.10165630988419316
Y-BOCS,Yale-Brown Obsessive Compulsive Scale,Adversity,0.17790554161151084,0.09885341108391321,0.07905213052759763
Y-BOCS,Yale-Brown Obsessive Compulsive Scale,Measurement proxies,0.39156725805284587,0.31181553140548546,0.07975172664736041
Y-BOCS,Yale-Brown Obsessive Compulsive Scale,Central tension,0.16570830854056517,0.12056576780830053,0.04514254073226465
PANSS,Positive and Negative Syndrome Scale,Foundational claim,0.12937714001187195,0.07662984303717457,0.05274729697469738
PANSS,Positive and Negative Syndrome Scale,Evaluative criterion,0.28605574529592337,0.2075020490986348,0.07855369619728858
PANSS,Positive and Negative Syndrome Scale,Time horizon,0.27890360782054646,0.16817402426399963,0.11072958355654683
PANSS,Positive and Negative Syndrome Scale,Adversity,0.22806101435176673,0.08520321942318376,0.14285779492858297
PANSS,Positive and Negative Syndrome Scale,Measurement proxies,0.49592552623694564,0.34564629120747303,0.1502792350294726
PANSS,Positive and Negative Syndrome Scale,Central tension,0.19204793784739682,0.10613627568257289,0.08591166216482393
EPDS,Edinburgh Postnatal Depression Scale,Foundational claim,0.18259816233726722,0.10193553257905408,0.08066262975821314
EPDS,Edinburgh Postnatal Depression Scale,Evaluative criterion,0.3457342926298511,0.23831368394266583,0.10742060868718528
EPDS,Edinburgh Postnatal Depression Scale,Time horizon,0.32430017088114627,0.202056746271014,0.12224342461013227
EPDS,Edinburgh Postnatal Depression Scale,Adversity,0.2318482193939836,0.13165784592514607,0.10019037346883752
EPDS,Edinburgh Postnatal Depression Scale,Measurement proxies,0.4711378570049133,0.3303114090324475,0.1408264479724658
EPDS,Edinburgh Postnatal Depression Scale,Central tension,0.2577278640346472,0.1755490512148048,0.0821788128198424
GAF,Global Assessment of Functioning,Foundational claim,0.18947026681715584,0.17879658877757643,0.010673678039579415
GAF,Global Assessment of Functioning,Evaluative criterion,0.3655935516845277,0.34664976943730386,0.018943782247223817
GAF,Global Assessment of Functioning,Time horizon,0.3424433704532981,0.29798023136860396,0.044463139084694125
GAF,Global Assessment of Functioning,Adversity,0.23278973046965268,0.1904516707059709,0.04233805976368177
GAF,Global Assessment of Functioning,Measurement proxies,0.46074494607496486,0.4242737678703088,0.03647117820465606
GAF,Global Assessment of Functioning,Central tension,0.2408756492479599,0.1921452134284758,0.04873043581948411
C-SSRS,Columbia Suicide Severity Rating Scale,Foundational claim,0.16116775642447245,0.1143410539614671,0.046826702463005354
C-SSRS,Columbia Suicide Severity Rating Scale,Evaluative criterion,0.2671566130732729,0.21505691291726448,0.0520997001560084
C-SSRS,Columbia Suicide Severity Rating Scale,Time horizon,0.34770093012499115,0.22664752553010592,0.12105340459488523
C-SSRS,Columbia Suicide Severity Rating Scale,Adversity,0.19843217606767505,0.10507251821177921,0.09335965785589584
C-SSRS,Columbia Suicide Severity Rating Scale,Measurement proxies,0.41713656734409565,0.3246789460894668,0.09245762125462886
C-SSRS,Columbia Suicide Severity Rating Scale,Central tension,0.18573939414017648,0.1592602663035687,0.026479127836607774
EQ-5D,EuroQol Five Dimensions,Foundational claim,0.27339023990038924,0.2574199447383614,0.01597029516202786
EQ-5D,EuroQol Five Dimensions,Evaluative criterion,0.40205003569736575,0.3480047992191111,0.054045236478254655
EQ-5D,EuroQol Five Dimensions,Time horizon,0.41633071848496284,0.2965558871850389,0.11977483129992395
EQ-5D,EuroQol Five Dimensions,Adversity,0.2630271814957039,0.17827787596744937,0.08474930552825455
EQ-5D,EuroQol Five Dimensions,Measurement proxies,0.5028102577358244,0.43338098115890156,0.06942927657692288
EQ-5D,EuroQol Five Dimensions,Central tension,0.2833727450935912,0.23978129495965084,0.04359145013394039
SF-36,Short Form Health Survey-36,Foundational claim,0.2387206651652023,0.2270034735635813,0.011717191601620991
SF-36,Short Form Health Survey-36,Evaluative criterion,0.3963002067958814,0.3511484617285927,0.045151745067288696
SF-36,Short Form Health Survey-36,Time horizon,0.39059026014030984,0.3006255899061471,0.08996467023416277
SF-36,Short Form Health Survey-36,Adversity,0.23145457491207488,0.19660823786455217,0.03484633704752271
SF-36,Short Form Health Survey-36,Measurement proxies,0.5081569542797498,0.460284156242055,0.04787279803769484
SF-36,Short Form Health Survey-36,Central tension,0.2755524244190082,0.21724636247905627,0.058306061939951914
MDQ,Mood Disorder Questionnaire,Foundational claim,0.19464301674051832,0.13324147223048544,0.06140154451003288
MDQ,Mood Disorder Questionnaire,Evaluative criterion,0.32887680173751044,0.21018579519587743,0.118691006541633
MDQ,Mood Disorder Questionnaire,Time horizon,0.3799742872649934,0.265778138319249,0.11419614894574437
MDQ,Mood Disorder Questionnaire,Adversity,0.18299385734904416,0.09604265314315974,0.08695120420588442
MDQ,Mood Disorder Questionnaire,Measurement proxies,0.4725407157605547,0.3399808271520295,0.1325598886085252
MDQ,Mood Disorder Questionnaire,Central tension,0.24436643637525823,0.15568793382765433,0.0886785025476039
YMRS,Young Mania Rating Scale,Foundational claim,0.1393190377184681,0.10099214369409915,0.03832689402436895
YMRS,Young Mania Rating Scale,Evaluative criterion,0.2818413858295852,0.2211352536879072,0.06070613214167797
YMRS,Young Mania Rating Scale,Time horizon,0.3119339064899862,0.1828154269617489,0.1291184795282373
YMRS,Young Mania Rating Scale,Adversity,0.16520239479672494,0.06909640236187808,0.09610599243484685
YMRS,Young Mania Rating Scale,Measurement proxies,0.48682934798641775,0.3531552165464882,0.13367413143992957
YMRS,Young Mania Rating Scale,Central tension,0.18833242580668608,0.13865193627863404,0.04968048952805204
PSS,Perceived Stress Scale,Foundational claim,0.17465732831458447,0.1072752629008249,0.06738206541375957
PSS,Perceived Stress Scale,Evaluative criterion,0.3519300451518197,0.2413158089808115,0.11061423617100818
PSS,Perceived Stress Scale,Time horizon,0.378872226328699,0.22374668112860951,0.15512554520008948
PSS,Perceived Stress Scale,Adversity,0.22620023580861015,0.17080770327330919,0.055392532535300965
PSS,Perceived Stress Scale,Measurement proxies,0.4934294222999619,0.3967815557008244,0.09664786659913749
PSS,Perceived Stress Scale,Central tension,0.24867242134767387,0.2177411235996477,0.030931297748026165
