scale,dimension,sim_hedonic,sim_eudaimonic,delta
PHQ-9,Foundational claim,0.1714337916226607,0.08834554772552172,0.08308824389713898
PHQ-9,Evaluative criterion,0.34229039551991525,0.23183110806951657,0.11045928745039868
PHQ-9,Time horizon,0.35714871499032785,0.20948112172159639,0.14766759326873147
PHQ-9,Adversity,0.2309859708001063,0.11543033905026157,0.11555563174984473
PHQ-9,Measurement proxies,0.48584173228987404,0.3633880706911845,0.12245366159868953
PHQ-9,Central tension,0.24746526930165214,0.18726965115824368,0.06019561814340846
GAD-7,Foundational claim,0.13212391576543103,0.09077485769108906,0.04134905807434197
GAD-7,Evaluative criterion,0.28588037791407994,0.2161227058455284,0.06975767206855155
GAD-7,Time horizon,0.3144855497195935,0.14223482152607414,0.1722507281935194
GAD-7,Adversity,0.1918143262360108,0.0902537419046765,0.1015605843313343
GAD-7,Measurement proxies,0.379953290383092,0.28124326126370547,0.09871002911938653
GAD-7,Central tension,0.18424206577164703,0.14308828071031066,0.04115378506133638
BDI-II,Foundational claim,0.17797565537036164,0.08906343904150116,0.08891221632886048
BDI-II,Evaluative criterion,0.326569855921222,0.21909116825532537,0.10747868766589663
BDI-II,Time horizon,0.3085885831798434,0.1782386045725064,0.130349978607337
BDI-II,Adversity,0.23358608862965402,0.11728935270344654,0.11629673592620748
BDI-II,Measurement proxies,0.4805297059171487,0.360079254442758,0.12045045147439071
BDI-II,Central tension,0.2299896998697507,0.18022724949182534,0.04976245037792537
BAI,Foundational claim,0.10515969311412443,0.04688587810624878,0.05827381500787565
BAI,Evaluative criterion,0.29000434196736113,0.20046235250371602,0.08954198946364511
BAI,Time horizon,0.3101494295814906,0.11415657589192996,0.19599285368956065
BAI,Adversity,0.23342048442881191,0.08255844982193561,0.1508620346068763
BAI,Measurement proxies,0.4163942931768614,0.2944374394523561,0.12195685372450527
BAI,Central tension,0.20566026535597004,0.13430642061183473,0.07135384474413531
DASS-21,Foundational claim,0.19882632566310532,0.13029530620309093,0.06853101946001439
DASS-21,Evaluative criterion,0.3840167787569464,0.255237388281744,0.12877939047520237
DASS-21,Time horizon,0.3861236634185865,0.22777039307877955,0.15835327033980695
DASS-21,Adversity,0.31875915883184247,0.17078042883663147,0.147978729995211
DASS-21,Measurement proxies,0.5464343606519756,0.41384861706039855,0.13258574359157704
DASS-21,Central tension,0.28344897686036563,0.25992859257703016,0.02352038428333547
SCL-90-R,Foundational claim,0.17439172990439356,0.09894796827876329,0.07544376162563027
SCL-90-R,Evaluative criterion,0.3443194211827769,0.23009800732687968,0.11422141385589724
SCL-90-R,Time horizon,0.31875891776316656,0.18746103664613534,0.13129788111703122
SCL-90-R,Adversity,0.2682806022481069,0.13160435401578685,0.13667624823232005
SCL-90-R,Measurement proxies,0.4904922456877395,0.39831184736309355,0.09218039832464597
SCL-90-R,Central tension,0.2109418212786518,0.17936683974769063,0.031574981530961166
HAM-A,Foundational claim,0.08668659264741796,0.03627222809861741,0.05041436454880055
HAM-A,Evaluative criterion,0.2851915991573153,0.19318154186920267,0.09201005728811262
HAM-A,Time horizon,0.30127700499087207,0.12924096237247373,0.17203604261839833
HAM-A,Adversity,0.21063559486171246,0.07124539516152639,0.13939019970018607
HAM-A,Measurement proxies,0.45042664525398124,0.31720407652321414,0.1332225687307671
HAM-A,Central tension,0.17960849010430247,0.11224980357287917,0.0673586865314233
STAI,Foundational claim,0.12112160774594294,0.08333872928261099,0.03778287846333195
STAI,Evaluative criterion,0.27678140883258173,0.20047137462632914,0.0763100342062526
STAI,Time horizon,0.33041694848251857,0.17056162225335902,0.15985532622915954
STAI,Adversity,0.18396278038281344,0.09653788950040487,0.08742489088240857
STAI,Measurement proxies,0.42938667301839417,0.33817179313719214,0.09121487988120203
STAI,Central tension,0.16990947878216367,0.16016654910352934,0.009742929678634327
PSQI,Foundational claim,0.14914748399162103,0.10071777564438578,0.048429708347235256
PSQI,Evaluative criterion,0.3127620055161555,0.23150303215424128,0.08125897336191423
PSQI,Time horizon,0.35601839089887277,0.1939601378510537,0.16205825304781907
PSQI,Adversity,0.15708146224543307,0.07730749658211489,0.07977396566331818
PSQI,Measurement proxies,0.4112557634434151,0.3547964211406225,0.05645934230279259
PSQI,Central tension,0.21861492015928763,0.16707756773858873,0.0515373524206989
PCL-5,Foundational claim,0.12672263453654375,0.06702682051161146,0.05969581402493229
PCL-5,Evaluative criterion,0.2790104494941361,0.1858658833813236,0.09314456611281252
PCL-5,Time horizon,0.2848948021788521,0.16359259844043728,0.12130220373841483
PCL-5,Adversity,0.26021345201179635,0.14560642034555127,0.11460703166624508
PCL-5,Measurement proxies,0.4097864353477487,0.3529157783884348,0.056870656959313926
PCL-5,Central tension,0.19223638794829778,0.1526553457813098,0.03958104216698799
AUDIT,Foundational claim,0.1565953755656012,0.10280037386271157,0.053795001702889644
AUDIT,Evaluative criterion,0.23936253378637085,0.19712632419449427,0.04223620959187657
AUDIT,Time horizon,0.2717356396829399,0.1490829575765985,0.12265268210634139
AUDIT,Adversity,0.19426428855368183,0.09950717153041,0.09475711702327183
AUDIT,Measurement proxies,0.3693329672521347,0.3160278854978408,0.05330508175429394
AUDIT,Central tension,0.16121834939328594,0.13668809726273667,0.024530252130549268
OQ-45,Foundational claim,0.21534298788533968,0.17291673603680213,0.042426251848537544
OQ-45,Evaluative criterion,0.417870851736182,0.339061998540523,0.078808853195659
OQ-45,Time horizon,0.43169302682614097,0.2896860169190272,0.1420070099071138
OQ-45,Adversity,0.30115647595132977,0.20790149444176786,0.09325498150956191
OQ-45,Measurement proxies,0.5476126428076723,0.524125321954249,0.02348732085342331
OQ-45,Central tension,0.2731845238842605,0.245465993945148,0.027718529939112502
K10,Foundational claim,0.2335770014530486,0.1712377470677,0.0623392543853486
K10,Evaluative criterion,0.4281677398508661,0.30341223613328205,0.12475550371758404
K10,Time horizon,0.39468765879199996,0.24803096761486698,0.14665669117713298
K10,Adversity,0.3156875490488493,0.18063054809007428,0.13505700095877504
K10,Measurement proxies,0.5249499066619013,0.40502244302888313,0.1199274636330182
K10,Central tension,0.3113676732632725,0.27113026302081267,0.04023741024245986
CORE-OM,Foundational claim,0.30944460185553524,0.2455356165499326,0.06390898530560263
CORE-OM,Evaluative criterion,0.5276701005044752,0.3994182381744784,0.12825186232999675
CORE-OM,Time horizon,0.4721544995959721,0.35021781520300377,0.12193668439296834
CORE-OM,Adversity,0.35786477329713295,0.24283415599341973,0.11503061730371322
CORE-OM,Measurement proxies,0.5759308954634554,0.5097842353533009,0.06614666011015458
CORE-OM,Central tension,0.309083406645112,0.2722069590452505,0.03687644759986153
SDS,Foundational claim,0.19515702484244235,0.15878330248104566,0.03637372236139669
SDS,Evaluative criterion,0.3554873963311904,0.29426333347837075,0.06122406285281967
SDS,Time horizon,0.3454575955376058,0.2721688528145816,0.07328874272302421
SDS,Adversity,0.2520652076486346,0.17913292294052474,0.07293228470810986
SDS,Measurement proxies,0.4274408491133914,0.41571875038435757,0.011722098729033847
SDS,Central tension,0.26702514180765413,0.21086951462133885,0.05615562718631528
WHODAS-2.0,Foundational claim,0.22041889946043214,0.256672837911742,-0.036253938451309864
WHODAS-2.0,Evaluative criterion,0.3696190819498948,0.37934475268616774,-0.009725670736272951
WHODAS-2.0,Time horizon,0.37119023662741346,0.31306691490661387,0.05812332172079959
WHODAS-2.0,Adversity,0.2168697831752231,0.208172474148009,0.008697309027214106
WHODAS-2.0,Measurement proxies,0.4384150235446179,0.5066028730362045,-0.06818784949158663
WHODAS-2.0,Central tension,0.2326863602693282,0.2567903525431543,-0.02410399227382609
Y-BOCS,Foundational claim,0.08358724401694662,0.032716998655159424,0.05087024536178719
Y-BOCS,Evaluative criterion,0.21251269057364863,0.16667209259181337,0.04584059798183526
Y-BOCS,Time horizon,0.2483755562997343,0.14655086173756804,0.10182469456216625
Y-BOCS,Adversity,0.17781893032706764,0.09898172457336596,0.07883720575370168
Y-BOCS,Measurement proxies,0.3430440933264751,0.3128837242240461,0.03016036910242903
Y-BOCS,Central tension,0.16559384706237967,0.12051643403918122,0.045077413023198454
EPDS,Foundational claim,0.18263921253105098,0.10179343492541981,0.08084577760563116
EPDS,Evaluative criterion,0.3455227515669397,0.23767871346418823,0.10784403810275145
EPDS,Time horizon,0.3242914899235523,0.20161673454211293,0.12267475538143935
EPDS,Adversity,0.23180076829520924,0.13176783792889257,0.10003293036631666
EPDS,Measurement proxies,0.42676886051627294,0.3314261144741065,0.09534274604216642
EPDS,Central tension,0.2576304205192912,0.17555008203042366,0.08208033848886753
C-SSRS,Foundational claim,0.16146319418437327,0.11425644119669087,0.0472067529876824
C-SSRS,Evaluative criterion,0.26690547278013665,0.21350186102873625,0.053403611751400404
C-SSRS,Time horizon,0.34769997406581343,0.22642941961428587,0.12127055445152757
C-SSRS,Adversity,0.19837227729095752,0.10531417767923201,0.09305809961172551
C-SSRS,Measurement proxies,0.35991049603715863,0.32611310529589344,0.0337973907412652
C-SSRS,Central tension,0.1856708418996924,0.15922837471305062,0.026442467186641783
EQ-5D,Foundational claim,0.273576549442871,0.25717043276052465,0.016406116682346372
EQ-5D,Evaluative criterion,0.40182658623824796,0.34788348389728396,0.053943102340964
EQ-5D,Time horizon,0.41635372907075263,0.2961698057862314,0.12018392328452121
EQ-5D,Adversity,0.2629733703889867,0.17841812764922993,0.08455524273975679
EQ-5D,Measurement proxies,0.4952106824047535,0.43406594456506253,0.06114473783969099
EQ-5D,Central tension,0.2832540839796529,0.23969315719079454,0.04356092678885837
MDQ,Foundational claim,0.1948613884509499,0.133071137025213,0.06179025142573691
MDQ,Evaluative criterion,0.3289347919464909,0.20965637123600278,0.11927842071048811
MDQ,Time horizon,0.3799690120677266,0.2654678712254963,0.11450114084223029
MDQ,Adversity,0.1829110354000827,0.09622198702871321,0.08668904837136948
MDQ,Measurement proxies,0.4395263946132415,0.3411586394670415,0.0983677551462
MDQ,Central tension,0.2442991599182347,0.1556764189717592,0.08862274094647549
YMRS,Foundational claim,0.1395517162607507,0.10078704715054221,0.03876466911020848
YMRS,Evaluative criterion,0.28201351858557566,0.22034632329756088,0.06166719528801479
YMRS,Time horizon,0.31190647588354237,0.18243044448758905,0.12947603139595332
YMRS,Adversity,0.1650679946454795,0.0691985587317403,0.0958694359137392
YMRS,Measurement proxies,0.4542394255650096,0.3537948261652667,0.10044459939974293
YMRS,Central tension,0.18821385126535406,0.1386619624659965,0.04955188879935757
PSS,Foundational claim,0.17453681099842222,0.10672976052360861,0.06780705047481361
PSS,Evaluative criterion,0.3517567665665631,0.2408938119614321,0.11086295460513096
PSS,Time horizon,0.37868106534964285,0.22336956244212014,0.1553115029075227
PSS,Adversity,0.22605596983574072,0.17063703705354938,0.055418932782191344
PSS,Measurement proxies,0.43253249049831877,0.39725084900004903,0.035281641498269734
PSS,Central tension,0.2484410120694538,0.217635121975447,0.030805890094006805
QIDS-SR,Foundational claim,0.16732309741294338,0.09068164850836624,0.07664144890457714
QIDS-SR,Evaluative criterion,0.35577816136377893,0.23979671474514686,0.11598144661863208
QIDS-SR,Time horizon,0.3582401341689039,0.20349346543874192,0.15474666873016196
QIDS-SR,Adversity,0.2386074343152006,0.11764211072817077,0.12096532358702983
QIDS-SR,Measurement proxies,0.5146112940225122,0.39813179022311873,0.11647950379939342
QIDS-SR,Central tension,0.24683090686167652,0.1926495795657851,0.054181327295891424
GHQ-12,Foundational claim,0.23210447653498434,0.1769932011405242,0.055111275394460146
GHQ-12,Evaluative criterion,0.42312025099084916,0.3321779867101916,0.09094226428065755
GHQ-12,Time horizon,0.405030266730551,0.25545216948429617,0.14957809724625482
GHQ-12,Adversity,0.2639641542420812,0.17638703145631218,0.08757712278576901
GHQ-12,Measurement proxies,0.5313035487544666,0.45490271341242383,0.07640083534204278
GHQ-12,Central tension,0.2599878766978929,0.2250141275961075,0.03497374910178541
PANAS,Foundational claim,0.23321082330296228,0.15313191783390012,0.08007890546906216
PANAS,Evaluative criterion,0.4227851186249325,0.2856408340206049,0.1371442846043276
PANAS,Time horizon,0.40669851488232844,0.26269478113101186,0.1440037337513166
PANAS,Adversity,0.2779569564181401,0.14510806607057747,0.13284889034756264
PANAS,Measurement proxies,0.6401182652114356,0.44985019876321775,0.1902680664482178
PANAS,Central tension,0.288529001934674,0.22591548906928205,0.06261351286539196
IES-R,Foundational claim,0.13689156016925708,0.06563639212823391,0.07125516804102316
IES-R,Evaluative criterion,0.3070668044024383,0.18334121606851927,0.123725588333919
IES-R,Time horizon,0.27806588739616767,0.1764794080388149,0.10158647935735277
IES-R,Adversity,0.2791450525897692,0.14988313930924912,0.12926191328052006
IES-R,Measurement proxies,0.3905834233064367,0.3078555265716034,0.08272789673483327
IES-R,Central tension,0.20063941787544337,0.172705832439496,0.027933585435947372
CAPS-5,Foundational claim,0.09454556458102725,0.030633894085417612,0.06391167049560964
CAPS-5,Evaluative criterion,0.24922435322449188,0.14644100168490848,0.1027833515395834
CAPS-5,Time horizon,0.2703646302174695,0.1764382336831386,0.09392639653433088
CAPS-5,Adversity,0.21942823086126173,0.12488870162831378,0.09453952923294795
CAPS-5,Measurement proxies,0.35243349353813747,0.2883436793408094,0.06408981419732807
CAPS-5,Central tension,0.16605043372960282,0.1071120779437098,0.058938355785893015
DAST-10,Foundational claim,0.126242563591894,0.06821461287476849,0.05802795071712552
DAST-10,Evaluative criterion,0.24189129137662801,0.179518694630469,0.062372596746159026
DAST-10,Time horizon,0.25812966776120416,0.12919225465587825,0.12893741310532592
DAST-10,Adversity,0.18736769884305704,0.09233702946119404,0.095030669381863
DAST-10,Measurement proxies,0.331961309841059,0.2858965961068791,0.04606471373417986
DAST-10,Central tension,0.16940823831308016,0.14012256519647703,0.029285673116603128
CAGE,Foundational claim,0.1318283284024071,0.06378960295253733,0.06803872544986977
CAGE,Evaluative criterion,0.24682623961202188,0.1822190796386871,0.06460715997333477
CAGE,Time horizon,0.25187192023618543,0.1080254608115001,0.14384645942468532
CAGE,Adversity,0.2069554411951593,0.10819545379296014,0.09875998740219916
CAGE,Measurement proxies,0.32906052030042887,0.27383029568626205,0.05523022461416682
CAGE,Central tension,0.17431938520028478,0.1477233474379569,0.026596037762327884
ASSIST,Foundational claim,0.13399998522725365,0.08280079973310106,0.05119918549415259
ASSIST,Evaluative criterion,0.2594237285336264,0.20621222692453645,0.05321150160908994
ASSIST,Time horizon,0.3181891118879241,0.17717522437645683,0.14101388751146726
ASSIST,Adversity,0.20372261615813503,0.12407266416611629,0.07964995199201874
ASSIST,Measurement proxies,0.3586113631767154,0.3533181986233487,0.005293164553366703
ASSIST,Central tension,0.18343777112138404,0.15565715111498113,0.027780620006402912
PHQ-15,Foundational claim,0.15687130833578133,0.07045453294639936,0.08641677538938197
PHQ-15,Evaluative criterion,0.31015487881530857,0.19854829047383493,0.11160658834147363
PHQ-15,Time horizon,0.3390501264762089,0.17649903663869848,0.16255108983751043
PHQ-15,Adversity,0.24056857512237406,0.12008329015143737,0.12048528497093669
PHQ-15,Measurement proxies,0.4401427229321233,0.3145410611375079,0.1256016617946154
PHQ-15,Central tension,0.2535957619501924,0.16483405773108506,0.08876170421910734
WHOQOL-BREF,Foundational claim,0.3260354193622419,0.29204358186767054,0.03399183749457135
WHOQOL-BREF,Evaluative criterion,0.48226507817429587,0.4162568929444732,0.06600818522982266
WHOQOL-BREF,Time horizon,0.44470312383749455,0.36471445551881565,0.0799886683186789
WHOQOL-BREF,Adversity,0.2880744372392454,0.22425888294131724,0.06381555429792818
WHOQOL-BREF,Measurement proxies,0.5378147812928964,0.5276089305851591,0.010205850707737274
WHOQOL-BREF,Central tension,0.34105713765757895,0.2539107230856571,0.08714641457192185
PROMIS,Foundational claim,0.23340459209743158,0.20028739779543947,0.033117194301992114
PROMIS,Evaluative criterion,0.42029363816371623,0.35807800678236723,0.062215631381349
PROMIS,Time horizon,0.4351471382391532,0.3151213221832023,0.12002581605595086
PROMIS,Adversity,0.2661415114838319,0.21038467041942643,0.05575684106440548
PROMIS,Measurement proxies,0.5518226858354816,0.5154622239524564,0.03636046188302511
PROMIS,Central tension,0.286464624235805,0.22269659644895035,0.06376802778685464
MOS-SS,Foundational claim,0.1466017036950511,0.10967952206213094,0.03692218163292016
MOS-SS,Evaluative criterion,0.3122073445528061,0.23580976825809252,0.07639757629471355
MOS-SS,Time horizon,0.34732015193589993,0.17356406256362433,0.1737560893722756
MOS-SS,Adversity,0.15862808792838734,0.08249075102432124,0.0761373369040661
MOS-SS,Measurement proxies,0.3978424614277898,0.34213982114981323,0.055702640277976556
MOS-SS,Central tension,0.21275178595998245,0.15838693512521607,0.05436485083476639
ASI,Foundational claim,0.1526281141925313,0.12438213672677323,0.028245977465758076
ASI,Evaluative criterion,0.30989546521949674,0.2748901782896984,0.03500528692979832
ASI,Time horizon,0.33737608657905316,0.24855242923504828,0.08882365734400488
ASI,Adversity,0.21233282579506474,0.16387246254589427,0.04846036324917047
ASI,Measurement proxies,0.38924791637332623,0.387759744361697,0.0014881720116292074
ASI,Central tension,0.20216395763952733,0.16054491599154375,0.04161904164798358
BHS,Foundational claim,0.19279391039217353,0.12954618029975962,0.06324773009241391
BHS,Evaluative criterion,0.29709653408649306,0.23907511936896675,0.05802141471752631
BHS,Time horizon,0.31755004657437746,0.22675760476995532,0.09079244180442214
BHS,Adversity,0.2934016779466525,0.18219888990391986,0.11120278804273265
BHS,Measurement proxies,0.42871623924033053,0.4027326009477028,0.02598363829262773
BHS,Central tension,0.27370006663602675,0.20392747881971052,0.06977258781631623
DERS,Foundational claim,0.15265936202170294,0.1302205245963428,0.022438837425360125
DERS,Evaluative criterion,0.29360633972289296,0.23330057180826214,0.060305767914630826
DERS,Time horizon,0.3227188243851735,0.21404873667234026,0.10867008771283326
DERS,Adversity,0.23538119544056224,0.17132083226742145,0.06406036317314079
DERS,Measurement proxies,0.46194977214035715,0.3763681186925989,0.08558165344775825
DERS,Central tension,0.22617659240637933,0.2760895974502495,-0.049913005043870196
PCQ,Foundational claim,0.22092227910802087,0.2438886935980109,-0.02296641448999004
PCQ,Evaluative criterion,0.35132262205104114,0.3630043732438143,-0.011681751192773149
PCQ,Time horizon,0.3381492001377615,0.32790615954517355,0.01024304059258796
PCQ,Adversity,0.25947316238592033,0.3152967065459479,-0.05582354416002755
PCQ,Measurement proxies,0.4539706143695248,0.5035204030750269,-0.049549788705502085
PCQ,Central tension,0.25874918815431625,0.31571989398514166,-0.05697070583082542
WEMWBS,Foundational claim,0.3960634011268216,0.3690674346355387,0.026995966491282886
WEMWBS,Evaluative criterion,0.5801594995090154,0.5135734856629188,0.06658601384609653
WEMWBS,Time horizon,0.5037800171219059,0.4446616206367151,0.059118396485190794
WEMWBS,Adversity,0.3206980902878992,0.2972887192441819,0.02340937104371732
WEMWBS,Measurement proxies,0.631284224342099,0.6011511083947817,0.03013311594731727
WEMWBS,Central tension,0.3734688219359985,0.35548547066015335,0.01798335127584516
SWLS,Foundational claim,0.3759678628564207,0.3464492959850305,0.029518566871390206
SWLS,Evaluative criterion,0.4936903922424898,0.4091900500595542,0.08450034218293556
SWLS,Time horizon,0.49614890505108566,0.38933993925467625,0.10680896579640942
SWLS,Adversity,0.25213871028725754,0.21724800380948672,0.034890706477770816
SWLS,Measurement proxies,0.49525919811129593,0.5262491522674124,-0.030989954156116495
SWLS,Central tension,0.3758188033847021,0.2977955480121981,0.07802325537250399
WHO-5,Foundational claim,0.3855382833182258,0.3465341675926066,0.03900411572561924
WHO-5,Evaluative criterion,0.5784802596067726,0.4815174255428569,0.0969628340639157
WHO-5,Time horizon,0.5427696170507238,0.43943868039157175,0.10333093665915205
WHO-5,Adversity,0.30781509584298705,0.26690897499276867,0.040906120850218386
WHO-5,Measurement proxies,0.5844271070593228,0.537373664472917,0.04705344258640576
WHO-5,Central tension,0.404461323652503,0.3190530274537965,0.08540829619870649
SCARED,Foundational claim,0.06423971978887444,0.00533385199489167,0.05890586779398277
SCARED,Evaluative criterion,0.2500474536429437,0.1523690879424211,0.09767836570052257
SCARED,Time horizon,0.25742744717782884,0.1185102402065703,0.13891720697125853
SCARED,Adversity,0.20622268079104566,0.07728074367218452,0.12894193711886115
SCARED,Measurement proxies,0.37537110052588396,0.3005537185468531,0.07481738197903087
SCARED,Central tension,0.16266278183401695,0.09303428336204234,0.06962849847197461
SDQ,Foundational claim,0.1643810021462646,0.11814209438780299,0.04623890775846162
SDQ,Evaluative criterion,0.31115092357105856,0.24301978615211406,0.0681311374189445
SDQ,Time horizon,0.3229515101275173,0.19082683574619863,0.1321246743813187
SDQ,Adversity,0.2477946215719744,0.15432126381597921,0.09347335775599519
SDQ,Measurement proxies,0.4345843276953967,0.36734600644102844,0.06723832125436824
SDQ,Central tension,0.21408954944148473,0.19675568104076435,0.017333868400720376
RCADS,Foundational claim,0.05789635975021734,0.0007925918558618905,0.05710376789435545
RCADS,Evaluative criterion,0.24800039011562824,0.15014004299175954,0.09786034712386871
RCADS,Time horizon,0.2641229291388686,0.11109694070094667,0.15302598843792192
RCADS,Adversity,0.18564995141719243,0.06755192768486029,0.11809802373233214
RCADS,Measurement proxies,0.390310596050375,0.3077545079015095,0.0825560881488655
RCADS,Central tension,0.14168258201745998,0.0835138799645938,0.05816870205286617
ACE,Foundational claim,0.1346948954554692,0.09107480732648399,0.04362008812898521
ACE,Evaluative criterion,0.28270116637906373,0.20855363202666033,0.0741475343524034
ACE,Time horizon,0.2805680891162248,0.21562603978116446,0.06494204933506031
ACE,Adversity,0.27430923885530867,0.24070660229629925,0.03360263655900941
ACE,Measurement proxies,0.37306548301726095,0.3413228378174581,0.031742645199802855
ACE,Central tension,0.19677900494400347,0.15993178644953354,0.036847218494469924
MBI,Foundational claim,0.1683021844291479,0.1452400339584612,0.023062150470686715
MBI,Evaluative criterion,0.29481195013015316,0.2820919785034558,0.012719971626697357
MBI,Time horizon,0.29990577221237547,0.2351904412940865,0.06471533091828896
MBI,Adversity,0.18538538555491413,0.12587255875994552,0.05951282679496861
MBI,Measurement proxies,0.38667978745466236,0.38832831267928114,-0.0016485252246187798
MBI,Central tension,0.21415994574443187,0.22526283086618648,-0.011102885121754613
WHOQOL-100,Foundational claim,0.3340670536935375,0.33962130318559003,-0.005554249492052521
